time,operation,alink
15/11/20 00:00,deposit,"21,845,741.75"
15/11/20 00:00,withdrawal,"19,250,384.87"
14/11/20 00:00,deposit,"21,843,448.55"
14/11/20 00:00,withdrawal,"19,250,066.99"
13/11/20 00:00,deposit,"21,825,612.75"
13/11/20 00:00,withdrawal,"19,249,277.27"
12/11/20 0:00,deposit,"21,697,290.42"
12/11/20 0:00,withdrawal,"19,247,329.87"
11/11/20 0:00,deposit,"21,686,935.05"
11/11/20 0:00,withdrawal,"19,246,249.94"
10/11/20 0:00,deposit,"21,642,046.05"
10/11/20 0:00,withdrawal,"19,245,216.64"
09/11/20 0:00,deposit,"21,628,939.02"
09/11/20 0:00,withdrawal,"19,244,213.61"
08/11/20 0:00,deposit,"21,031,240.13"
08/11/20 0:00,withdrawal,"19,241,817.66"
07/11/20 0:00,deposit,"21,024,416.19"
07/11/20 0:00,withdrawal,"19,222,154.09"
06/11/20 0:00,deposit,"20,993,791.99"
06/11/20 0:00,withdrawal,"19,216,505.76"
05/11/20 0:00,deposit,"20,984,682.59"
05/11/20 0:00,withdrawal,"19,121,763.42"
04/11/20 0:00,withdrawal,"19,044,327.39"
02/11/20 0:00,withdrawal,"18,972,818.23"
01/11/20 0:00,deposit,"20,972,973.59"
01/11/20 0:00,withdrawal,"18,720,093.85"
31/10/20 00:00,deposit,"20,970,585.26"
31/10/20 00:00,withdrawal,"18,712,629.81"
30/10/20 00:00,deposit,"20,970,268.62"
30/10/20 00:00,withdrawal,"18,663,851.87"
29/10/20 00:00,deposit,"20,970,263.62"
29/10/20 00:00,withdrawal,"18,638,615.81"
28/10/20 00:00,deposit,"20,969,749.64"
28/10/20 00:00,withdrawal,"18,633,589.58"
27/10/20 00:00,deposit,"20,966,765.29"
27/10/20 00:00,withdrawal,"18,599,556.70"
26/10/20 00:00,deposit,"20,966,037.63"
26/10/20 00:00,withdrawal,"18,575,078.14"
25/10/20 00:00,deposit,"20,944,420.34"
25/10/20 00:00,withdrawal,"18,556,272.23"
24/10/20 00:00,deposit,"20,840,247.84"
24/10/20 00:00,withdrawal,"18,546,960.33"
23/10/20 00:00,deposit,"20,825,566.40"
23/10/20 00:00,withdrawal,"18,505,639.75"
22/10/20 00:00,deposit,"20,825,253.23"
22/10/20 00:00,withdrawal,"18,496,527.91"
21/10/20 00:00,deposit,"20,824,162.56"
20/10/20 00:00,deposit,"20,798,746.70"
20/10/20 00:00,withdrawal,"18,265,128.90"
19/10/20 00:00,deposit,"20,788,259.49"
19/10/20 00:00,withdrawal,"17,747,642.92"
18/10/20 00:00,deposit,"20,749,419.64"
18/10/20 00:00,withdrawal,"16,609,103.12"
17/10/20 00:00,deposit,"20,649,663.91"
17/10/20 00:00,withdrawal,"16,066,120.22"
16/10/20 00:00,deposit,"20,623,883.53"
16/10/20 00:00,withdrawal,"15,475,423.96"
15/10/20 00:00,deposit,"20,453,771.44"
15/10/20 00:00,withdrawal,"15,421,782.31"
14/10/20 00:00,deposit,"18,497,996.55"
14/10/20 00:00,withdrawal,"15,405,292.70"
13/10/20 00:00,deposit,"18,230,666.99"
13/10/20 00:00,withdrawal,"15,380,996.18"
12/10/20 0:00,deposit,"18,130,618.26"
12/10/20 0:00,withdrawal,"15,198,325.80"
11/10/20 0:00,deposit,"18,118,250.50"
11/10/20 0:00,withdrawal,"15,133,236.67"
10/10/20 0:00,deposit,"18,116,865.74"
10/10/20 0:00,withdrawal,"15,093,868.78"
09/10/20 0:00,deposit,"18,115,795.24"
09/10/20 0:00,withdrawal,"15,060,598.98"
08/10/20 0:00,withdrawal,"14,946,081.26"
07/10/20 0:00,deposit,"17,918,800.01"
07/10/20 0:00,withdrawal,"14,927,716.02"
06/10/20 0:00,deposit,"17,818,503.50"
06/10/20 0:00,withdrawal,"14,887,150.08"
05/10/20 0:00,deposit,"17,810,014.87"
05/10/20 0:00,withdrawal,"14,834,652.59"
04/10/20 0:00,deposit,"17,748,576.85"
04/10/20 0:00,withdrawal,"14,807,541.39"
03/10/20 0:00,deposit,"17,747,108.05"
03/10/20 0:00,withdrawal,"14,628,260.45"
02/10/20 0:00,deposit,"17,399,237.08"
02/10/20 0:00,withdrawal,"14,589,964.07"
01/10/20 0:00,deposit,"17,398,937.52"
01/10/20 0:00,withdrawal,"14,429,000.16"
30/09/20 00:00,deposit,"17,396,018.83"
30/09/20 00:00,withdrawal,"14,410,130.21"
29/09/20 00:00,deposit,"17,392,094.94"
29/09/20 00:00,withdrawal,"14,296,197.16"
28/09/20 00:00,deposit,"17,388,089.67"
28/09/20 00:00,withdrawal,"14,015,034.20"
27/09/20 00:00,deposit,"17,385,173.22"
27/09/20 00:00,withdrawal,"13,488,532.91"
26/09/20 00:00,deposit,"17,322,208.08"
